Continent,Year,Communicable,Noncommunicable,Injuries
Africa,1990,61.445311362171715,31.261134060756675,7.293554577071603
Africa,1991,61.431791518544664,31.404181012407463,7.16402746904787
Africa,1992,61.5993174040938,31.55802782036744,6.842654775538754
Africa,1993,61.651164672666994,31.555259927743005,6.793575399590001
Africa,1994,60.44904610761052,31.0480382964293,8.502915595960173
Africa,1995,61.68348908486251,31.422260016614707,6.894250898522785
Africa,1996,61.70404974246963,31.22689453921363,7.069055718316741
Africa,1997,61.40080670484157,31.18754021139982,7.411653083758612
Africa,1998,61.34351152624091,31.28630176296679,7.370186710792298
Africa,1999,61.19149459582731,31.315012991293173,7.493492412879517
Africa,2000,61.557569998430026,31.563957526068034,6.878472475501943
Africa,2001,61.53139787853165,31.834676415539732,6.633925705928617
Africa,2002,61.02188117145627,32.181325330107654,6.796793498436075
Africa,2003,60.70161650447747,32.47690822911772,6.821475266404811
Africa,2004,60.12563291838172,33.12887291865951,6.745494162958777
Africa,2005,59.5374454752298,33.73421285174897,6.728341673021224
Africa,2006,58.80639493509061,34.515192738569915,6.678412326339476
Africa,2007,57.88588110153588,35.277740100057045,6.836378798407073
Africa,2008,56.99036168127587,36.087988922441816,6.921649396282305
Africa,2009,55.977363093924,36.86543572820932,7.157201177866678
Africa,2010,55.29554418504939,37.66057736994047,7.043878445010141
Africa,2011,54.36646031718327,38.04415555488132,7.589384127935407
Africa,2012,53.44301661074779,39.29934555944782,7.257637829804389
Africa,2013,52.30109433549771,40.214882848845114,7.484022815657177
Africa,2014,51.400734635507675,40.735905686061024,7.863359678431291
Africa,2015,50.473690718295344,41.70815819561126,7.81815108609339
Africa,2016,49.48011163912797,42.665240058558666,7.85464830231337
Africa,2017,48.35806644795048,43.7551773389716,7.886756213077923
Africa,2018,47.37206748048783,44.759824580036415,7.868107939475757
Africa,2019,46.64297482307147,45.57407513058291,7.78295004634562
Asia,1990,29.362102187249803,58.974766200433976,11.663131612316228
Asia,1991,28.441239317351563,59.580345051803164,11.978415630845271
Asia,1992,27.81781676752084,60.8236562185065,11.358527013972662
Asia,1993,26.90699120161034,61.49892443102641,11.594084367363255
Asia,1994,26.349466223289312,62.48738400892767,11.163149767783018
Asia,1995,26.26701222016637,62.65442440648717,11.078563373346457
Asia,1996,25.479319913407064,63.544437085430026,10.976243001162912
Asia,1997,24.783701017689662,64.30279995689803,10.913499025412321
Asia,1998,24.04223367193287,65.05583834509879,10.901927982968347
Asia,1999,23.177226998839767,65.63842903561635,11.18434396554388
Asia,2000,22.70943642489246,66.32320061571129,10.967362959396251
Asia,2001,22.050181796539643,67.14389824062532,10.805919962835043
Asia,2002,21.394074055675585,67.76481046732296,10.841115477001463
Asia,2003,20.218173409063642,68.8318904706038,10.949936120332572
Asia,2004,19.480776269408928,68.81371169324895,11.705512037342128
Asia,2005,19.00546164969572,70.12442046006075,10.870117890243533
Asia,2006,18.376462182675485,70.30541212674693,11.318125690577594
Asia,2007,17.878403326949023,71.04172593410735,11.079870738943638
Asia,2008,17.22803777051314,71.02474940634089,11.74721282314597
Asia,2009,16.96401412590494,71.85835647187527,11.177629402219795
Asia,2010,16.60247636813902,72.87182575368699,10.525697878173984
Asia,2011,16.079006287119977,73.24900605306837,10.671987659811652
Asia,2012,15.539330652587333,73.1990698067267,11.261599540685962
Asia,2013,15.103931631446155,73.86174809235119,11.034320276202646
Asia,2014,14.629588461008497,74.02346026142105,11.34695127757045
Asia,2015,14.118178984201023,74.69936448293454,11.182456532864439
Asia,2016,13.621493240138395,75.40250461896314,10.976002140898471
Asia,2017,13.19470972268314,76.27943483952609,10.525855437790772
Asia,2018,12.680861011346934,77.22943932985321,10.089699658799859
Asia,2019,12.353991074286082,78.1322248946066,9.513784031107324
Europe,1990,4.97489250204405,87.58887184830785,7.436235649648093
Europe,1991,4.861608408195529,87.45166407219433,7.6867275196101374
Europe,1992,4.822733667865144,87.17743749269435,7.9998288394405055
Europe,1993,4.818919654965283,87.40347297974715,7.777607365287561
Europe,1994,4.843150674776171,87.5565924276828,7.600256897541036
Europe,1995,4.786905469386069,87.3327385401968,7.880355990417126
Europe,1996,4.750464111956411,88.19266008121222,7.056875806831365
Europe,1997,4.599649747227954,88.21290749141846,7.187442761353578
Europe,1998,4.56503199672827,88.50758187248904,6.927386130782692
Europe,1999,4.527677223882336,88.47068769235236,7.001635083765295
Europe,2000,4.456959204567985,88.80096078084604,6.742080014585972
Europe,2001,4.338702094429631,88.99834124834238,6.662956657227986
Europe,2002,4.269468804814619,89.22449995359305,6.506031241592328
Europe,2003,4.214140374739916,89.40174372775408,6.384115897505996
Europe,2004,4.137066956994232,89.57548809064204,6.287444952363733
Europe,2005,4.1029591377593935,89.71438418961482,6.182656672625783
Europe,2006,4.034931301528212,89.86576848664204,6.099300211829746
Europe,2007,3.992409850710221,90.00275744945868,6.004832699831089
Europe,2008,3.9484195483737263,90.15595616470192,5.895624286924353
Europe,2009,3.9065296115134047,90.36014716445487,5.733323224031721
Europe,2010,3.8522601368295053,90.51720341604407,5.630536447126424
Europe,2011,3.8379037880090103,90.65724439633158,5.504851815659413
Europe,2012,3.8394363645323,90.75282161253574,5.407742022931971
Europe,2013,3.838796300657978,90.84870251853661,5.312501180805421
Europe,2014,3.846971124550216,90.89538434310701,5.257644532342765
Europe,2015,3.8856153876662525,90.93251501080397,5.18186960152978
Europe,2016,3.8954944271329905,90.99908255449753,5.105423018369473
Europe,2017,3.872616068263975,91.09876481446246,5.028619117273573
Europe,2018,3.8401121867579286,91.19090964332892,4.96897816991315
Europe,2019,3.8201213463420194,91.24984649979618,4.930032153861804
Latin America and the Caribbean,1990,23.043090641155622,65.59122204395312,11.365687314891257
Latin America and the Caribbean,1991,22.58881314181264,65.8505798726451,11.560606985542265
Latin America and the Caribbean,1992,22.0476752829955,66.46496767592154,11.487357041082962
Latin America and the Caribbean,1993,21.566716518916003,66.8661729470997,11.567110533984298
Latin America and the Caribbean,1994,21.232173634904733,67.19451450675997,11.573311858335297
Latin America and the Caribbean,1995,20.81671025132803,67.65143533679323,11.531854411878747
Latin America and the Caribbean,1996,20.4054037333948,68.13087848262772,11.463717783977476
Latin America and the Caribbean,1997,19.791931407901824,68.51609954667937,11.691969045418807
Latin America and the Caribbean,1998,18.89146044714392,68.25846759038804,12.850071962468052
Latin America and the Caribbean,1999,18.909806636711153,69.17426370637281,11.915929656916038
Latin America and the Caribbean,2000,18.63422902309478,70.04920951651681,11.316561460388414
Latin America and the Caribbean,2001,18.180036009068157,70.45000247586009,11.369961515071758
Latin America and the Caribbean,2002,17.56202423244362,71.1543959127941,11.283579854762284
Latin America and the Caribbean,2003,16.96036802497922,71.94750431232288,11.09212766269791
Latin America and the Caribbean,2004,16.319580235037925,72.33697627894739,11.343443486014687
Latin America and the Caribbean,2005,15.800877422734013,73.00072109929224,11.198401477973741
Latin America and the Caribbean,2006,15.357122823354667,73.56318163214921,11.079695544496127
Latin America and the Caribbean,2007,14.794411301413177,74.10001557719704,11.105573121389785
Latin America and the Caribbean,2008,14.27460117673151,74.4919365786097,11.233462244658796
